source,target,value
Magda,"CC 4.0",57
Magda,"CC 3.0",27
Magda,"CC 2.5",8
Magda,"CC unspecified",6
Magda,blank,5
RDA,"CC 4.0",4
RDA,"CC 3.0",11
RDA,"CC 2.5",1
RDA,"CC unspecified",3
RDA,blank,7
RDA,other,186
ABS,"CC 4.0",11
CSIRO,"CC 4.0",16
CSIRO,"CC 3.0",3
CSIRO,"CSIRO Licence",19
TAS,"CC unspecified",2
TAS,blank,7
TAS,other,2
VIC,"CC 4.0",3
"data.wa.gov.au","CC 4.0",1
MLA,other,97
Dryad,"CC0 1.0",11
Figshare,"CC 4.0",12
